timestamp,name,run_index,url,rate_rps,duration_s,threads,connections,requests,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,err_connect,err_read,err_write,err_status,err_timeout,exit_code,run_dir
20260408_191945,nginx_file50k,2,http://127.0.0.1:8083/file50k,300,60,2,100,18002,300.02,1.279,1.975,2.311,2.607,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_191945_nginx_file50k_R300_c100_t2_d60s_run2
20260408_192101,go_file50k,2,http://127.0.0.1:8084/file50k,300,60,2,100,18002,300.02,1.378,2.047,2.361,2.679,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192101_go_file50k_R300_c100_t2_d60s_run2
20260408_192216,lean_file1m,2,http://127.0.0.1:8080/file1m,50,60,2,50,2979,49.64,8.983,33.727,43.871,51.679,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192216_lean_file1m_R50_c50_t2_d60s_run2
20260408_192331,warp_file1m,2,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,2.977,4.055,4.463,4.803,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192331_warp_file1m_R50_c50_t2_d60s_run2
20260408_192446,flask_file1m,2,http://127.0.0.1:8082/file1m,50,60,2,50,2954,49.23,992.767,1004.543,1006.079,1007.103,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192446_flask_file1m_R50_c50_t2_d60s_run2
20260408_192601,nginx_file1m,2,http://127.0.0.1:8083/file1m,50,60,2,50,3002,50.03,2.795,3.855,4.223,4.635,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192601_nginx_file1m_R50_c50_t2_d60s_run2
20260408_192716,go_file1m,2,http://127.0.0.1:8084/file1m,50,60,2,50,3002,50.03,2.827,3.751,4.231,4.663,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192716_go_file1m_R50_c50_t2_d60s_run2
20260408_192831,lean_json,2,http://127.0.0.1:8080/json,2000,60,2,100,119802,1996.65,1.259,2.217,2.581,2.929,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192831_lean_json_R2000_c100_t2_d60s_run2
20260408_192946,flask_json,3,http://127.0.0.1:8082/json,2000,60,2,100,112767,1879.43,1801.215,3311.615,3467.263,3512.319,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_192946_flask_json_R2000_c100_t2_d60s_run3
20260408_193101,nginx_json,3,http://127.0.0.1:8083/json,2000,60,2,100,119802,1996.61,1.189,2.157,2.509,2.791,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193101_nginx_json_R2000_c100_t2_d60s_run3
20260408_193216,go_json,3,http://127.0.0.1:8084/json,2000,60,2,100,118902,1981.63,1.311,2.661,3.249,4.675,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193216_go_json_R2000_c100_t2_d60s_run3
20260408_193331,lean_file50k,3,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.521,2.199,2.515,2.881,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193331_lean_file50k_R300_c100_t2_d60s_run3
20260408_193447,warp_file50k,3,http://127.0.0.1:8081/file50k,300,60,2,100,18002,300.02,1.364,2.036,2.375,2.705,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193447_warp_file50k_R300_c100_t2_d60s_run3
20260408_193602,flask_file50k,3,http://127.0.0.1:8082/file50k,300,60,2,100,17904,298.38,251.135,326.911,333.311,334.079,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193602_flask_file50k_R300_c100_t2_d60s_run3
20260408_193717,nginx_file50k,3,http://127.0.0.1:8083/file50k,300,60,2,100,18002,300.02,1.269,1.966,2.275,2.543,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193717_nginx_file50k_R300_c100_t2_d60s_run3
20260408_193832,go_file50k,3,http://127.0.0.1:8084/file50k,300,60,2,100,17852,297.52,1.617,3.225,4.191,5.339,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193832_go_file50k_R300_c100_t2_d60s_run3
20260408_193947,lean_file1m,3,http://127.0.0.1:8080/file1m,50,60,2,50,3002,50.03,3.303,5.383,44.255,46.143,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_193947_lean_file1m_R50_c50_t2_d60s_run3
20260408_194102,warp_file1m,3,http://127.0.0.1:8081/file1m,50,60,2,50,3002,50.03,2.929,3.999,4.351,4.651,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194102_warp_file1m_R50_c50_t2_d60s_run3
20260408_194217,flask_file1m,3,http://127.0.0.1:8082/file1m,50,60,2,50,2954,49.23,990.719,1003.519,1005.055,1006.079,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194217_flask_file1m_R50_c50_t2_d60s_run3
20260408_194332,nginx_file1m,3,http://127.0.0.1:8083/file1m,50,60,2,50,3002,50.03,2.791,3.845,4.223,4.615,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194332_nginx_file1m_R50_c50_t2_d60s_run3
20260408_194447,go_file1m,3,http://127.0.0.1:8084/file1m,50,60,2,50,3002,50.03,2.921,3.775,4.195,4.847,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194447_go_file1m_R50_c50_t2_d60s_run3
20260408_194602,lean_json,3,http://127.0.0.1:8080/json,2000,60,2,100,118904,1981.64,1.427,2.705,3.671,4.995,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194602_lean_json_R2000_c100_t2_d60s_run3
20260408_194718,warp_json,3,http://127.0.0.1:8081/json,2000,60,2,100,119806,1996.69,1.136,2.081,2.475,2.699,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194718_warp_json_R2000_c100_t2_d60s_run3
20260408_194833,nginx_json,4,http://127.0.0.1:8083/json,2000,60,2,100,118902,1981.60,1.486,2.885,3.655,4.275,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194833_nginx_json_R2000_c100_t2_d60s_run4
20260408_194948,go_json,4,http://127.0.0.1:8084/json,2000,60,2,100,118903,1981.65,1.362,2.681,3.245,3.941,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_194948_go_json_R2000_c100_t2_d60s_run4
20260408_195103,lean_file50k,4,http://127.0.0.1:8080/file50k,300,60,2,100,18002,300.02,1.516,2.187,2.501,2.821,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_195103_lean_file50k_R300_c100_t2_d60s_run4
20260408_195218,warp_file50k,4,http://127.0.0.1:8081/file50k,300,60,2,100,17853,297.53,1.678,3.663,4.603,5.507,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_195218_warp_file50k_R300_c100_t2_d60s_run4
20260408_195333,flask_file50k,4,http://127.0.0.1:8082/file50k,300,60,2,100,17904,298.38,249.343,326.399,333.055,333.823,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_195333_flask_file50k_R300_c100_t2_d60s_run4
20260408_195448,nginx_file50k,4,http://127.0.0.1:8083/file50k,300,60,2,100,17852,297.52,1.550,3.051,3.823,5.007,0,0,0,0,0,0,/home/henry/Documents/Year-4-Individual-Project/webserver/bench/runs/20260408_195448_nginx_file50k_R300_c100_t2_d60s_run4
