endpoint,build_ns,to_lazy_ns,send_ns,total_ns
/json,1302,82262,190726,275442
/json,3836,137340,61922,206090
/json,1195,69628,29526,101386
/json,1389,66671,68676,137930
/json,1239,89033,43181,135370
/json,1545,73758,90341,167755
/json,1237,86859,30050,119620
/json,1143,79784,36246,119122
/json,1047,80367,58070,140396
/json,4337,131206,83330,221722
/json,1192,79863,33884,116182
/json,2326,130131,113695,247489
/json,525,55770,24261,81332
/json,3432,149912,59833,214432
/json,1051,63891,29909,95805
/json,1447,67650,96602,167202
/json,1047,91748,40063,133750
/json,998,132150,110941,245152
/json,1055,75122,27980,105229
/json,3493,129835,45166,179798
/json,1057,90042,30416,122888
/json,3631,126008,62956,195560
/json,1150,87655,29929,119786
/json,1405,88661,55376,146529
/json,1164,72924,163907,239039
/json,3871,140274,61748,208447
/json,847,54716,24456,80942
/json,1137,89438,94776,186475
/json,1262,103962,40651,147046
/json,3837,129041,54474,189879
/json,1316,61574,30507,94471
/json,5255,95086,34904,138653
/json,1267,82152,37937,122392
/json,1049,122775,107433,232225
/json,1151,68584,47573,118356
/json,879,79180,33980,114983
/json,745,53324,20274,75108
/json,2247,96552,44502,145521
/json,1595,88566,48645,140088
/json,4124,144388,40875,192219
/json,1363,102063,351128,455810
/json,2884,158412,109562,272150
/json,1106,79652,25311,107153
/json,1669,74962,122561,200560
/json,1110,86084,24603,112817
/json,3985,133010,82458,222167
/json,1310,120256,36848,159609
/json,1288,83568,34793,121602
/json,1293,75044,31727,109279
/json,3821,131057,114136,251637
/json,1070,82155,26503,110977
/json,1054,85555,57205,144715
/json,521,53411,21296,75846
/json,1716,100730,43211,147822
/json,1355,68388,28104,98844
/json,1412,81004,44428,128846
/json,1190,77826,30611,110702
